variant,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_crt_50,hit_1r,hit_2r,hit_3r,hit_stdv_2,hit_stdv_2_5,hit_stdv_4,stdv_2_px,stdv_2_5_px,stdv_4_px,mfe_r,mae_r,net_r,risk_usd,pnl_usd,balance_after
raw,2026-07-09 06:35:00-04:00,2026-07-09T06:52:34-04:00,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,1.14304,1.14318,0.000140000000000029,all_targets,True,True,True,True,,,,1.14072,1.14031,1.1390799999999999,5.07,-0.0,3.0,50.98,152.94,5251.44
raw,2026-07-09 07:20:00-04:00,2026-07-09T07:33:19-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7488.5,7493.0,4.5,stop,False,False,False,False,,,,7484.900000000001,7483.300000000001,7478.500000000001,-0.0,-1.27,-1.0,52.51,-52.51,5198.93
m5_cisd,2026-07-09 06:50:00-04:00,2026-07-09T07:53:22-04:00,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,1.14233,1.1429,0.0005699999999999594,stop,,False,False,False,,,,1.14072,1.14031,1.1390799999999999,0.53,-1.05,-1.0,50.49,-50.49,4998.51
m5_managed,2026-07-09 06:50:00-04:00,2026-07-09T07:53:22-04:00,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,1.14233,1.1429,0.0005699999999999594,stop,,False,False,False,False,False,False,1.14072,1.14031,1.1390799999999999,0.53,-1.05,-1.0,49.5,-49.5,4900.5
m5_cisd,2026-07-09 06:50:00-04:00,2026-07-09T07:53:23-04:00,EURUSD,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,1.14233,1.1429,0.0005699999999999594,stop,False,False,False,False,,,,1.14072,1.14031,1.1390799999999999,0.53,-1.05,-1.0,50.49,-50.49,4948.02
m5_managed,2026-07-09 06:50:00-04:00,2026-07-09T07:53:23-04:00,EURUSD,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,1.14233,1.1429,0.0005699999999999594,stop,False,False,False,False,False,False,False,1.14072,1.14031,1.1390799999999999,0.53,-1.05,-1.0,49.5,-49.5,4851.0
raw,2026-07-09 06:35:00-04:00,2026-07-09T08:02:44-04:00,EURUSD,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,1.14288,1.14318,0.000300000000000189,stop,False,True,True,False,,,,1.14072,1.14031,1.1390799999999999,2.83,-1.13,-1.0,50.98,-50.98,5147.95
raw,2026-07-09 07:50:00-04:00,2026-07-09T08:06:45-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7497.5,7499.7,2.199999999999818,stop,False,False,False,False,,,,7440.6,7430.75,7401.200000000001,0.91,-1.05,-1.0,51.99,-51.99,5095.96
raw,2026-07-09 08:00:00-04:00,2026-07-09T08:08:46-04:00,EURUSD,pdh_pdl_sweep,PDH,bearish_sweep,1.14308,1.14322,0.00013999999999980695,stop,,False,False,False,,,,1.1401599999999998,1.1396499999999998,1.1381199999999998,0.29,-3.07,-1.0,51.99,-51.99,5043.97
m5_cisd,2026-07-09 08:15:00-04:00,2026-07-09T08:35:28-04:00,XAUUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_High,bearish_sweep,4110.79,4117.1,6.3100000000004,stop,False,False,False,False,,,,4056.26,4045.635,4013.76,0.92,-1.21,-1.0,49.48,-49.48,4898.54
m5_managed,2026-07-09 08:15:00-04:00,2026-07-09T08:35:28-04:00,XAUUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_High,bearish_sweep,4110.79,4117.1,6.3100000000004,stop,False,False,False,False,False,False,False,4056.26,4045.635,4013.76,0.92,-1.21,-1.0,48.51,-48.51,4802.49
raw,2026-07-09 08:05:00-04:00,2026-07-09T08:39:29-04:00,XAUUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_High,bearish_sweep,4115.59,4120.01,4.420000000000073,stop,False,True,True,False,,,,4056.26,4045.635,4013.76,2.4,-1.36,-1.0,50.44,-50.44,4993.53
m5_managed,2026-07-09 08:35:00-04:00,2026-07-09T09:16:14-04:00,EURUSD,pdh_pdl_sweep,PDH,bearish_sweep,1.14303,1.14361,0.0005800000000000249,be_after_partial,,True,False,False,False,False,False,1.1401599999999998,1.1396499999999998,1.1381199999999998,1.33,-0.19,0.5,48.51,24.25,4826.74
raw,2026-07-09 09:10:00-04:00,2026-07-09T09:16:14-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,4116.36,4118.2,1.8400000000001455,stop,False,False,False,False,,,,4069.750000000001,4060.945000000001,4034.5300000000016,-0.0,-4.16,-1.0,49.94,-49.94,4943.59
m5_cisd,2026-07-09 08:35:00-04:00,2026-07-09T09:18:15-04:00,EURUSD,pdh_pdl_sweep,PDH,bearish_sweep,1.14303,1.14361,0.0005800000000000249,stop,,True,False,False,,,,1.1401599999999998,1.1396499999999998,1.1381199999999998,1.33,-1.12,-1.0,49.48,-49.48,4849.06
raw,2026-07-09 09:15:00-04:00,2026-07-09T09:29:31-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_5AM_High,bearish_sweep,4120.21,4126.92,6.710000000000036,stop,False,False,False,False,,,,4061.0700000000006,4050.0950000000007,4017.170000000001,0.25,-1.05,-1.0,49.44,-49.44,4894.15
raw,2026-07-09 09:15:00-04:00,2026-07-09T09:32:11-04:00,EURUSD,crt_range_sweep,CRT_9AM_CRT_5AM_High,bearish_sweep,1.14328,1.14368,0.00039999999999995595,stop,False,False,False,False,,,,1.13942,1.13871,1.1365800000000001,0.55,-1.0,-1.0,49.44,-49.44,4844.71
m5_managed,2026-07-09 08:45:00-04:00,2026-07-09T09:36:12-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7497.8,7507.7,9.899999999999636,be_after_partial,False,True,False,False,True,False,False,7484.900000000001,7483.300000000001,7478.500000000001,1.41,-0.91,0.5,49.5,24.75,4851.49
