variant,source,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_50,hit_liquidity,t50_px,t100_px,stdv_2_px,stdv_2_5_px,stdv_4_px,mfe_r,mae_r,net_r,risk_usd,pnl_usd,balance_after,signal_id,final_verdict,rejected_by,filter_pd,filter_qt,filter_qt_phase,filter_mo_bias,filter_hrl,run_id,is_backtest
m5_cisd,mt5,2026-06-19 07:30:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,1.14622,1.14672,0.0004999999999999449,stop,True,False,1.1461450000000002,1.14555,1.1427000000000003,1.1420150000000002,1.1399600000000005,0.84,-1.26,-1.16,,,,e22481f3809e,rejected,pd,fail,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-19 09:10:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,1.14625,1.1475,0.0012499999999999734,stop,False,False,1.1445400000000001,1.14273,1.1427000000000003,1.1420150000000002,1.1399600000000005,0.48,-1.1,-1.064,,,,edf633c6d0a3,rejected,pd,fail,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-19 09:10:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_High,bearish_sweep,1.14625,1.1475,0.0012499999999999734,stop,False,False,1.144185,1.14177,1.1437,1.1431749999999998,1.1416,0.48,-1.1,-1.064,,,,5d94df67c6de,rejected,pd,fail,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-19 09:35:00-04:00,,EURUSD,crt_range_sweep,CRT_9AM_CRT_9PM_Asia_High,bearish_sweep,1.1459,1.14652,0.0006200000000000649,stop,False,False,1.1445400000000001,1.14273,1.14363,1.142985,1.14105,0.16,-1.03,-1.129,,,,ffe1b6222198,rejected,pd,fail,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-19 10:10:00-04:00,,EURUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,1.14594,1.1465,0.000560000000000116,stop,False,False,1.144185,1.14177,1.14532,1.1449949999999998,1.1440199999999998,0.27,-1.07,-1.143,,,,d92a093cbca0,rejected,pd,fail,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-22 06:15:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_High,bearish_sweep,1.14588,1.14627,0.00038999999999989043,liquidity,True,True,1.145245,1.14414,1.1438499999999996,1.1434299999999995,1.1421699999999992,5.97,-0.82,4.256,,,,8c2450080247,rejected,pd,fail,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-22 07:30:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_Low,bullish_sweep,1.1454,1.14492,0.00048000000000003595,stop,False,False,1.14626,1.14738,1.1482199999999998,1.1487399999999997,1.1502999999999997,0.17,-1.37,-1.167,,,,51008addf4d4,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-22 08:05:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_Low,bullish_sweep,1.14562,1.14468,0.0009400000000001629,stop,True,False,1.146105,1.14702,1.14837,1.1489449999999999,1.1506699999999999,0.62,-2.2,-1.085,,,,92f8c460e746,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-22 08:05:00-04:00,,EURUSD,opening_gap_sweep,NDOG_Low,bullish_sweep,1.14562,1.14468,0.0009400000000001629,stop,True,False,1.145845,1.1465,1.14837,1.1489449999999999,1.1506699999999999,0.62,-2.2,-1.085,,,,99f50d091afd,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-22 10:45:00-04:00,,EURUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_Low,bullish_sweep,1.14436,1.14257,0.0017899999999999583,stop,False,False,1.145245,1.14635,1.1514999999999995,1.1528249999999995,1.1567999999999992,0.4,-1.03,-1.045,,,,d81ec55fd8a3,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-23 03:00:00-04:00,,EURUSD,opening_gap_sweep,NWOG_Low,bullish_sweep,1.14312,1.14186,0.0012599999999998168,stop,,False,,1.1456399999999995,1.1438500000000005,1.1441700000000006,1.1451300000000009,0.63,-1.52,-1.063,,,,7b6a4132b831,rejected,mo_bias,pass,pass,Manipulation,fail,pass,8197109777,true
m5_cisd,mt5,2026-06-23 03:00:00-04:00,,EURUSD,pdh_pdl_sweep,PDL,bullish_sweep,1.14312,1.14209,0.0010299999999998644,stop,False,False,1.1446399999999999,1.14738,1.14531,1.145885,1.14761,0.78,-1.0,-1.078,,,,65c03d83ae57,rejected,mo_bias,pass,pass,Manipulation,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-23 08:30:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_Low,bullish_sweep,1.13892,1.13826,0.0006599999999998829,stop,False,False,1.14218,1.14392,1.1431499999999997,1.1436149999999996,1.1450099999999994,1.67,-1.39,-1.121,,,,51c4a50908d1,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-24 09:20:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_Low,bullish_sweep,1.13321,1.1324,0.0008099999999999774,expired,True,False,1.13562,1.13752,1.1373999999999997,1.1380199999999996,1.1398799999999996,4.44,-0.01,3.111,,,,14691d1938b8,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-24 09:20:00-04:00,,EURUSD,crt_range_sweep,CRT_9AM_CRT_5AM_Low,bullish_sweep,1.13321,1.13248,0.0007300000000001194,liquidity,True,True,1.133925,1.1353900000000001,1.13777,1.138665,1.1413499999999999,3.12,-0.01,2.877,,,,337a47d43ef1,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
